country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Haryana,Bhiwani,"H.B. Colony, Bhiwani - HSPCB","23-06-2026 16:00:00",28.806223,76.141105,SO2,0,12,4
India,Haryana,"Charkhi Dadri","Mini Secretariat, Charkhi Dadri - HSPCB","23-06-2026 16:00:00",28.593883,76.270653,PM10,26,136,97
India,Haryana,Dharuhera,"Municipal Corporation Office, Dharuhera -  HSPCB","23-06-2026 16:00:00",28.2068,76.7997,NH3,8,17,13
India,Haryana,Faridabad,"Sector 11, Faridabad - HSPCB","23-06-2026 16:00:00",28.376058,77.315741,NH3,10,10,10
India,Haryana,Faridabad,"Sector 11, Faridabad - HSPCB","23-06-2026 16:00:00",28.376058,77.315741,OZONE,15,15,15
India,Haryana,Gurugram,"NISE Gwal Pahari, Gurugram - IITM","23-06-2026 16:00:00",28.422681,77.148944,PM2.5,27,126,58
India,Haryana,Mandikhera,"General Hospital, Mandikhera(Nuh) - HSPCB","23-06-2026 16:00:00",27.9002,76.9938,NH3,9,10,10
India,Haryana,Mandikhera,"General Hospital, Mandikhera(Nuh) - HSPCB","23-06-2026 16:00:00",27.9002,76.9938,OZONE,56,58,57
India,Haryana,Manesar,"Sector-2 IMT, Manesar - HSPCB","23-06-2026 16:00:00",28.360699,76.93609,PM2.5,71,230,135
India,Haryana,Manesar,"Sector-2 IMT, Manesar - HSPCB","23-06-2026 16:00:00",28.360699,76.93609,CO,2,20,10
India,Haryana,Palwal,"Shyam Nagar, Palwal - HSPCB","23-06-2026 16:00:00",28.1485564,77.3320667,NO2,23,24,24
India,Haryana,Palwal,"Shyam Nagar, Palwal - HSPCB","23-06-2026 16:00:00",28.1485564,77.3320667,NH3,8,9,9
India,Haryana,Panchgaon,"Amity University, Panchgaon - IITM","23-06-2026 16:00:00",28.3153,76.9143,NO2,20,80,47
India,Haryana,Panchgaon,"Amity University, Panchgaon - IITM","23-06-2026 16:00:00",28.3153,76.9143,NH3,5,13,9
India,Haryana,Panchgaon,"Amity University, Panchgaon - IITM","23-06-2026 16:00:00",28.3153,76.9143,SO2,6,25,14
India,Haryana,Panchkula,"Sector-6, Panchkula - HSPCB ","23-06-2026 16:00:00",30.7057778,76.8531805555555,SO2,11,12,12
India,Haryana,Panipat,"Sector-18, Panipat - HSPCB","23-06-2026 16:00:00",29.432304,76.972765,NO2,25,32,31
India,Haryana,Sirsa,"F-Block, Sirsa - HSPCB","23-06-2026 16:00:00",29.5364,75.0158,NH3,12,14,13
India,Haryana,Sirsa,"F-Block, Sirsa - HSPCB","23-06-2026 16:00:00",29.5364,75.0158,OZONE,21,81,51
India,Karnataka,Hubballi,"Lingaraj Nagar, Hubballi - KSPCB","23-06-2026 16:00:00",15.3714823,75.1160168,NH3,1,2,1
India,Karnataka,Kalaburagi,"Mahatma Basaveswar Colony, Kalaburgi - KSPCB","23-06-2026 16:00:00",17.336318,76.847397,PM10,NA,NA,NA
